                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                 1.1469,                0.80957,                  1.496,                0.92505,                0.73126,                0.77938,                  0.478,                 1.0752,                0.75473,                 1.5277,             0.00031609,             0.00031609,             0.00031609
                    120,                 1.0527,                0.78628,                 1.3689,                0.92416,                0.72433,                0.78074,                0.46894,                 1.0847,                 0.7558,                 1.5433,             0.00030666,             0.00030666,             0.00030666
                    121,                 1.2432,                0.97101,                 1.4398,                 0.9057,                0.71823,                0.77746,                0.46157,                 1.1005,                0.75934,                 1.5623,             0.00029723,             0.00029723,             0.00029723
                    122,                  1.215,                0.89066,                 1.5329,                0.91435,                0.72163,                0.77728,                0.46572,                  1.106,                0.76371,                 1.5679,              0.0002878,              0.0002878,              0.0002878
                    123,                 1.2412,                0.86708,                 1.4636,                0.91242,                0.71326,                0.78024,                0.47775,                 1.0793,                0.75753,                 1.5365,             0.00027837,             0.00027837,             0.00027837
                    124,                 1.2448,                 1.0178,                  1.617,                0.87898,                0.72439,                0.78089,                0.46193,                  1.061,                0.75065,                 1.5151,             0.00026894,             0.00026894,             0.00026894
                    125,                 1.3434,                0.94941,                 1.8133,                0.91189,                0.66004,                0.78089,                0.45959,                 1.0434,                 0.7362,                 1.4895,             0.00025951,             0.00025951,             0.00025951
                    126,                 1.1623,                 1.0383,                 1.5502,                0.92132,                0.63297,                0.77707,                 0.4612,                 1.0382,                0.72769,                 1.4761,             0.00025007,             0.00025007,             0.00025007
                    127,                 1.2608,                0.91084,                 1.4353,                0.87417,                0.70769,                 0.7772,                0.47681,                 1.0389,                0.72339,                 1.4756,             0.00024064,             0.00024064,             0.00024064
                    128,                 1.2498,                 1.0264,                 1.6826,                0.90345,                0.69528,                0.77886,                0.48878,                 1.0381,                0.72032,                  1.481,             0.00023121,             0.00023121,             0.00023121
                    129,                 1.2852,                0.95938,                 1.4738,                0.87031,                 0.7222,                0.77922,                0.48955,                 1.0331,                0.71707,                  1.478,             0.00022178,             0.00022178,             0.00022178
                    130,                 1.3437,                 0.9458,                 1.8826,                0.90159,                0.70138,                0.78066,                0.50734,                 1.0295,                0.71475,                 1.4813,             0.00021235,             0.00021235,             0.00021235
                    131,                 1.1433,                0.84175,                 1.5297,                0.86838,                0.71936,                0.78011,                0.49955,                 1.0233,                0.71132,                 1.4716,             0.00020292,             0.00020292,             0.00020292
                    132,                 1.2359,                0.98568,                 1.4271,                0.90944,                0.71187,                0.78147,                0.49696,                 1.0216,                0.71009,                  1.466,             0.00019349,             0.00019349,             0.00019349
                    133,                 1.4209,                 1.0573,                 1.9606,                0.92488,                0.71178,                0.78069,                0.49564,                 1.0198,                0.70774,                 1.4626,             0.00018406,             0.00018406,             0.00018406
                    134,                 1.1301,                0.77932,                 1.3918,                0.93854,                0.70801,                0.78073,                0.49604,                  1.018,                 0.7068,                 1.4633,             0.00017462,             0.00017462,             0.00017462
                    135,                 1.2911,                 1.0816,                 1.5518,                0.93421,                0.71234,                0.78026,                0.50969,                 1.0158,                0.70744,                 1.4634,             0.00016519,             0.00016519,             0.00016519
                    136,                 1.1925,                0.83804,                 1.4501,                0.94419,                0.70295,                0.78088,                0.50525,                 1.0119,                0.70734,                 1.4596,             0.00015576,             0.00015576,             0.00015576
                    137,                 1.2067,                0.86736,                 1.4803,                   0.94,                0.70835,                0.78191,                0.49955,                   1.01,                0.70626,                 1.4604,             0.00014633,             0.00014633,             0.00014633
                    138,                 1.1524,                0.88276,                 1.4076,                0.94006,                0.71394,                0.78264,                0.51898,                 1.0137,                0.70846,                 1.4684,              0.0001369,              0.0001369,              0.0001369
                    139,                 1.2909,                 1.3722,                 1.6921,                0.85317,                0.69404,                0.78332,                0.51936,                 1.0165,                0.71173,                  1.474,             0.00012747,             0.00012747,             0.00012747
                    140,                 1.2862,                0.87833,                 1.4533,                0.81405,                 0.7418,                0.78385,                0.52352,                 1.0105,                 0.7045,                 1.4645,             0.00011804,             0.00011804,             0.00011804
                    141,                 1.0833,                0.87485,                 1.4724,                0.81206,                0.74412,                0.78548,                0.52782,                 1.0052,                0.69953,                 1.4547,              0.0001086,              0.0001086,              0.0001086
                    142,                 1.4461,                 1.1806,                 2.1711,                0.81249,                 0.7448,                0.78647,                0.51962,                 1.0035,                0.69535,                 1.4463,             9.9173e-05,             9.9173e-05,             9.9173e-05
                    143,                 1.1888,                0.93028,                 1.5142,                0.81044,                0.75112,                0.78708,                0.52124,                 1.0098,                0.69411,                 1.4396,             8.9741e-05,             8.9741e-05,             8.9741e-05
                    144,                 1.2734,                 0.9796,                 1.7529,                0.79999,                0.75526,                 0.7881,                0.51911,                 1.0216,                0.69658,                 1.4394,              8.031e-05,              8.031e-05,              8.031e-05
                    145,                 1.1147,                0.99207,                 1.5174,                0.79514,                0.76439,                0.76018,                0.50819,                   1.04,                0.70161,                 1.4453,             7.0878e-05,             7.0878e-05,             7.0878e-05
                    146,                  1.107,                0.98076,                  1.391,                0.80131,                0.76134,                0.75968,                0.50594,                 1.0595,                0.70778,                 1.4541,             6.1447e-05,             6.1447e-05,             6.1447e-05
